run,lang,n,ref,chrf,comet,p50,p95,max,ttft_p50,req_p50,req_p95,req_max,out_tok_per_s,load_ms,vram_mib,caps,failures
m2m12b.clauses,de,300,pseudo(gemma4-26b),57.6,,85.4,131.4,157.0,,85.4,131.4,157.0,,919.0,3406,0,
m2m12b.clauses,es,300,pseudo(gemma4-26b),61.0,,85.4,131.4,157.0,,85.4,131.4,157.0,,919.0,3406,0,
m2m12b.clauses,fr,300,pseudo(gemma4-26b),56.5,,85.4,131.4,157.0,,85.4,131.4,157.0,,919.0,3406,0,commentary=1
m2m12b.clauses,pt,300,pseudo(gemma4-26b),59.3,,85.4,131.4,157.0,,85.4,131.4,157.0,,919.0,3406,0,
m2m12b.flores,de,500,flores,59.2,,187.8,306.2,508.7,,187.8,306.2,508.7,,1008.0,3406,0,
m2m12b.flores,es,500,flores,51.7,,187.8,306.2,508.7,,187.8,306.2,508.7,,1008.0,3406,0,
m2m12b.flores,fr,500,flores,65.5,,187.8,306.2,508.7,,187.8,306.2,508.7,,1008.0,3406,0,
m2m12b.flores,pt,500,flores,66.9,,187.8,306.2,508.7,,187.8,306.2,508.7,,1008.0,3406,0,
m2m418.clauses+asr,de,300,pseudo(gemma4-26b),50.8,,69.7,116.4,162.9,,69.7,116.4,162.9,,603.0,1358,0,
m2m418.clauses+asr,es,300,pseudo(gemma4-26b),55.3,,69.7,116.4,162.9,,69.7,116.4,162.9,,603.0,1358,0,too-long=1
m2m418.clauses+asr,fr,300,pseudo(gemma4-26b),52.0,,69.7,116.4,162.9,,69.7,116.4,162.9,,603.0,1358,0,too-long=2
m2m418.clauses+asr,pt,300,pseudo(gemma4-26b),55.1,,69.7,116.4,162.9,,69.7,116.4,162.9,,603.0,1358,0,
m2m418.clauses,de,300,pseudo(gemma4-26b),50.8,,39.6,62.7,86.9,,39.6,62.7,86.9,,490.0,1358,0,
m2m418.clauses,es,300,pseudo(gemma4-26b),55.3,,39.6,62.7,86.9,,39.6,62.7,86.9,,490.0,1358,0,too-long=1
m2m418.clauses,fr,300,pseudo(gemma4-26b),52.0,,39.6,62.7,86.9,,39.6,62.7,86.9,,490.0,1358,0,too-long=2
m2m418.clauses,pt,300,pseudo(gemma4-26b),55.1,,39.6,62.7,86.9,,39.6,62.7,86.9,,490.0,1358,0,
m2m418.clauses.split,de,300,pseudo(gemma4-26b),50.9,,63.4,155.3,226.5,36.5,141.0,215.4,268.9,240.0,482.0,1358,2,
m2m418.clauses.split,es,300,pseudo(gemma4-26b),55.7,,85.3,191.7,268.8,54.0,141.0,215.4,268.9,185.0,482.0,1358,2,capped:max_tokens=1
m2m418.clauses.split,fr,300,pseudo(gemma4-26b),52.4,,94.9,197.2,260.8,63.6,141.0,215.4,268.9,181.0,482.0,1358,2,capped:max_tokens=1
m2m418.clauses.split,pt,300,pseudo(gemma4-26b),54.9,,80.3,172.2,259.4,52.9,141.0,215.4,268.9,194.0,482.0,1358,2,
m2m418.cpu,de,300,,,,311.6,514.0,1125.1,33.4,1241.5,1943.3,2423.9,56.0,563.0,,2,
m2m418.cpu,es,300,,,,304.1,483.5,1234.3,33.4,1241.5,1943.3,2423.9,56.0,563.0,,2,
m2m418.cpu,fr,300,,,,317.5,510.1,681.0,33.5,1241.5,1943.3,2423.9,57.0,563.0,,2,
m2m418.cpu,pt,300,,,,292.2,484.6,619.8,33.6,1241.5,1943.3,2423.9,56.0,563.0,,2,
m2m418.flores-zh,zh,500,flores,20.0,,64.0,116.0,432.9,,64.0,116.0,432.9,,508.0,1358,0,
m2m418.flores,de,500,flores,52.9,,87.5,147.1,249.9,,87.5,147.1,249.9,,516.0,1358,0,
m2m418.flores,es,500,flores,49.0,,87.5,147.1,249.9,,87.5,147.1,249.9,,516.0,1358,0,
m2m418.flores,fr,500,flores,60.7,,87.5,147.1,249.9,,87.5,147.1,249.9,,516.0,1358,0,
m2m418.flores,pt,500,flores,62.8,,87.5,147.1,249.9,,87.5,147.1,249.9,,516.0,1358,0,
madlad3b.clauses+asr,de,300,pseudo(gemma4-26b),65.2,,267.8,414.0,654.4,,267.8,414.0,654.4,,7688.0,6706,0,fragment-continued=1
madlad3b.clauses+asr,es,300,pseudo(gemma4-26b),72.6,,267.8,414.0,654.4,,267.8,414.0,654.4,,7688.0,6706,0,
madlad3b.clauses+asr,fr,300,pseudo(gemma4-26b),69.1,,267.8,414.0,654.4,,267.8,414.0,654.4,,7688.0,6706,0,
madlad3b.clauses+asr,pt,300,pseudo(gemma4-26b),69.0,,267.8,414.0,654.4,,267.8,414.0,654.4,,7688.0,6706,0,
madlad3b.clauses,de,300,pseudo(gemma4-26b),65.2,,143.6,231.1,363.6,,143.6,231.1,363.6,,7173.0,6706,0,fragment-continued=1
madlad3b.clauses,es,300,pseudo(gemma4-26b),72.6,,143.6,231.1,363.6,,143.6,231.1,363.6,,7173.0,6706,0,
madlad3b.clauses,fr,300,pseudo(gemma4-26b),69.1,,143.6,231.1,363.6,,143.6,231.1,363.6,,7173.0,6706,0,
madlad3b.clauses,pt,300,pseudo(gemma4-26b),69.0,,143.6,231.1,363.6,,143.6,231.1,363.6,,7173.0,6706,0,
madlad3b.flores-zh,zh,500,flores,26.9,,237.0,413.8,713.8,,237.0,413.8,713.8,,8246.0,6706,0,
madlad3b.flores,de,500,flores,64.4,,324.0,545.8,888.4,,324.0,545.8,888.4,,7211.0,6706,0,
madlad3b.flores,es,500,flores,54.6,,324.0,545.8,888.4,,324.0,545.8,888.4,,7211.0,6706,0,
madlad3b.flores,fr,500,flores,70.0,,324.0,545.8,888.4,,324.0,545.8,888.4,,7211.0,6706,0,
madlad3b.flores,pt,500,flores,70.5,,324.0,545.8,888.4,,324.0,545.8,888.4,,7211.0,6706,0,
